Name,Parsed Name,Title,Category,Level,Type,System
Performance Warning alarm,bad performance was detected,bad performance was detected,Software,Info,Functional,NCE
ETH_LOS,Ethernet Signal was lost,Ethernet Signal was lost,Hardware,Failure,Networking,NCE
Physical Port Down,physical port down,physical port stopped working,Hardware,Failure,Functional,NCE
Link Down,link down,a link was disconnected,Hardware,Failure,Networking,NCE
Crc error alarm notification,cyclic redundancy check error alarm notification,a cyclic redundancy check error occurred,Software,Info,Networking,NCE
Power Invalid,power invalid,the power source was invalid,Power,Failure,Functional,NCE
RADIO_RSL_LOW,radio Received Signal Level low,the radio Received Signal Level was low,Hardware,Info,Functional,NCE
NE_NOT_LOGIN,ne not login,a network element was not logged in,Software,Failure,Functional,NCE
MW_LOF,Microwave lof,Microwave system failed,Hardware,Failure,Functional,NCE
NE_COMMU_BREAK,ne Communication break,a network element Communication broke,Software,Failure,Functional,NCE
RADIO_TSL_LOW,radio transmit power level low,the radio transmit power level was low,Hardware,Info,Functional,NCE
POWER_ABNORMAL,power abnormal,the power source was abnormal,Power,Info,Functional,NCE
MAC_EXT_EXC,Meduim Access Control External Exceeds,the Meduim Access Control External Exceeded threshold,Hardware,Info,Functional,NCE
BD_STATUS,board status,a status issue occurred in the board,Software,Info,Functional,NCE
RADIO_RSL_BEYONDTH,radio Received Signal Level beyondth,the radio Received Signal Level beyond threshold,Hardware,Info,Functional,NCE
DCNSIZE_OVER,Data Communication Network Size over,a Data Communication Network was oversized,Software,Info,Networking,NCE
RADIO_FADING_MARGIN_INSUFF,radio fading margin Insufficient,the radio fading margin was Insufficient,Hardware,Info,Functional,NCE
PORTMODE_MISMATCH,PORT MODE mismatch,a mismatch was detected in the PORT MODE,Software,Failure,Networking,NCE
NE_COMMU_GNE_SWITCH,ne Communication Gateway Network element switch,a Communication Gateway Network element was switched,Hardware,Info,Functional,NCE
DROPRATIO_OVER,DROP-RATIO over,the DROP RATIO was over,Software,Info,Networking,NCE
MW_RDI,Microwave Remote Defect Indication,a Defect was Indicated in the Microwave Remote system,Hardware,Info,Functional,NCE
RADIO_MUTE,radio mute,a radio was muted,Software,Failure,Functional,NCE
IF_CABLE_OPEN,intermidiate frequency cable open,the intermidiate frequency cable was opened,Hardware,Info,Functional,NCE
COMMUN_FAIL,Communication fail,a Communication failed,Software,Failure,Networking,NCE
MW_BER_SD,Microwave Bit Error Rate Signal Degradation,a Signal Degradation was deteted in the Microwave Bit Error Rate,Hardware,Info,Functional,NCE
ETH_LINK_DOWN,Ethernet link down,an Ethernet link stopped working,Hardware,Failure,Networking,NCE
GNE_CONNECT_FAIL,Gateway Network element connect fail,a connection to Gateway Network element failed,Software,Failure,Networking,NCE
SWDL_AUTOMATCH_INH,Software Download automatch Inhibited,Software Download automatch was Inhibited,Software,Info,Functional,NCE
MAC_FCS_EXC,Meduim Access Control Frame Check Sequence Exceeds,the Frame Check Sequence Exceeded threshold in the Meduim Access Control,Software,Info,Networking,NCE
SLAVE_BAD,slave bad,a slave had bad performance,Software,Info,Functional,NCE
CONFIG_NOSUPPORT,configuration Not Support,the configuration was Not Supported,Configuration,Failure,Functional,NCE
VPLS VC Down,Virtual Private Local Access Network Services Virtual Circuit down,a Virtual Circuit stopped working in the Private Local Access Network Services,Hardware,Failure,Functional,NCE
Vpls VSI state change to down,Virtual Private Local Access Network Services Virtual Switching Instate state change to down,the Virtual Switching state changed to down in the Private Local Access Network Services,Hardware,Failure,Functional,NCE
T_ALOS,t alos,Unknown Alarm was triggered,Software,Info,Functional,NCE
Power Fail(Entity),power fail entity,a power entity failed,Power,Failure,Functional,NCE
PORT_EXC_TRAFFIC,port Exceeds traffic,a port Exceeded traffic threshold,Software,Info,Networking,NCE
IN_PWR_ABN,Input Power Abnormal,an Input Power source was Abnormal,Power,Info,Functional,NCE
HARD_BAD,hard bad,the system was hardly bad,Software,Info,Functional,NCE
POWER_ALM,power Alarm,a power Alarm sounded,Power,Failure,Functional,NCE
R_LOF,receive side lof,the receive side frames were lost,Software,Info,Networking,NCE
PLA_MEMBER_DOWN,Physical Link Aggregation member down,the Physical Link Aggregation member stopped working,Hardware,Failure,Networking,NCE
MW_LIM,Microwave limited,a Microwave limit was reached,Hardware,Info,Functional,NCE
MOD_COM_FAIL,module Communication fail,a module Communication failed,Software,Failure,Networking,NCE
BUS_ERR,bus error,a bus error occurred,Hardware,Info,Networking,NCE
BFD Session Status Changes to Down,Bidirectional Forwarding Detection session status changes to down,the session status changed to down in the Bidirectional Forwarding Detection,Software,Info,Functional,NCE
BFD session down,Bidirectional Forwarding Detection session down,the Bidirectional Forwarding Detection session was down,Software,Info,Functional,NCE
MPLS LDP Session Down,Multi Protocol Label Switching Label Distribution Protocol session down,Multi Protocol Label Switching Distribution Protocol session was down,Software,Info,Functional,NCE
The Device is offline,the device is offline,the device was offline,Hardware,Failure,Functional,NCE
LSR_NO_FITED,Laser no Not Fitted or Not installed,Laser was Not Fitted or was Not installed,Hardware,Failure,Functional,NCE
BGP Status Changed,Border Gateway Protocol status changed,the Border Gateway Protocol status changed,Software,Info,Functional,NCE
IS-IS Adjacency Changed,is is adjacency changed,the adjacency changed,Software,Info,Functional,NCE
R_LOC,receive side Loss Of Connectivity,the receive side Lost its Connectivity,Software,Failure,Functional,NCE
BIOS_STATUS,bios status,a bios status issue occurred,Software,Info,Functional,NCE
FAN_FAIL,fan fail,a fan failed,Hardware,Emergency,Functional,NCE
Output rate alarm notification,output rate alarm notification,the output rate was abnormal,Hardware,Info,Functional,NCE
CHAN_LOS,Channel Loss Of Signal,a Channel Lost its Signal,Hardware,Failure,Networking,NCE
SYNC_FAIL,synchronization fail,synchronization failed,Software,Failure,Functional,NCE
VOLT_LOS,volt Loss Of Signal,a volt source Lost its Signal,Power,Failure,Functional,NCE
Communication Intermit,communication Intermitted,a communication was Intermitted,Software,Failure,Networking,NCE
CLK_NO_TRACE_MODE,clock no trace mode,a clock was set to no trace mode,Software,Info,Functional,NCE
Device Powered Off,device powered off,the device was powered off,Hardware,Info,Functional,NCE
RTC_FAIL,Real-Time Clock fail,the Real Time Clock failed,Software,Failure,Functional,NCE
PLA_DOWN,Physical Link Aggregation down,the Physical Link Aggregation stopped working,Hardware,Failure,Networking,NCE
Optical Fail,optical fail,an optical communication failed,Software,Failure,Networking,NCE
MAC address transition occurred,Meduim Access Control address transition occurred,an address transition occurred in the Meduim Access Control,Software,Info,Networking,NCE
The input voltage of a power module was below a rated range,the input voltage of a power module was below a rated range,the input voltage of a power module was below a rated range,Power,Info,Functional,NCE
TEMP_ALARM,Temperature alarm,Temperature alarm sounded,Hardware,Info,Functional,NCE
NEIP_CONFUSION,Network Element Internet Protocol ( Network Element Internet Protocol address) confusion,a confusion ocurred in the Network Element Internet Protocol address,Software,Failure,Functional,NCE
Optical module error,optical module error,optical module error occurred,Hardware,Failure,Functional,NCE
PASSWORD_NEED_CHANGE,password need change,a password needed to change,Security,Info,Functional,NCE
RADIO_TSL_HIGH,radio transmit power level high,a high transmit power level was recorded in the radio,Hardware,Info,Functional,NCE
MW_CFG_MISMATCH,Microwave Configuration mismatch,a mismatch occurred at the Microwave Configuration,Configuration,Failure,Networking,NCE
